Title,Studio,Release Date,Genre,RuntimeBudget,Gross,IMDb Rating
Transformers: Revenge of the Fallen,Pacific Data/DreamWorks,24-06-09,action,150,210,927,6
Public Enemies,Universal,01-07-09,biography,140,102.5,237.3,7
Ice Age,Fox,01-07-09,animation,94,90,424.9,7.6
Ice Age: Dawn of the Dinosaurs,Fox,01-07-09,animation,94,90,982.9,7
Harry Potter and the Half-Blood Prince,WB,15-07-09,adventure,153,250,"1,035.70",7.5
The Ugly Truth,Sony,24-07-09,comedy,96,38,227.6,6.5
G-Force,Buena Vista Studios,24-07-09,action,88,82.5,324.6,5.1
G.I. Joe: The Rise of Cobra,Paramount Pictures,07-08-09,action,118,175,335.3,5.8
Ponyo,Buena Vista Studios,14-08-09,animation,101,34,223.7,7.7
District 9,TriStar,14-08-09,sci-fi,112,30,233.7,8
Inglourious Basterds,Weinstein Company,21-08-09,adventure,153,70,356.4,8.3
Cloudy with a Chance of Meatballs,Sony,18-09-09,animation,90,100,269.4,7
Michael Jackson's This Is It,Sony,28-10-09,documentary,111,60,289.5,7.6
A Christmas Carol (2009),Buena Vista Studios,06-11-09,animation,96,190,360.6,6.9
2012,Sony,13-11-09,action,158,200,853.2,5.8
The Blind Side,WB,20-11-09,biography,129,35,342.7,7.7
The Twilight Saga: New Moon,Summit Entertainment,20-11-09,drama,130,50,786.8,4.6
The Princess and the Frog,Buena Vista Studios,25-11-09,animation,97,105,296,7.2
Avatar,Fox,18-12-09,sci-fi,162,237,"3,090.40",7.9
Alvin and the Chipmunks: The Squeakquel,Fox,23-12-09,animation,88,70,491.2,4.4
It's Complicated,Universal,25-12-09,comedy,120,75,242.9,6.6
Sherlock Holmes,WB,25-12-09,action,128,90,580.8,7.6
Valentine's Day,WB,12-02-10,comedy,125,52,236.1,5.8
Percy Jackson & The Olympians: The Lightning Thief,Fox,12-02-10,fantasy,118,95,247,5.9
Shutter Island,Paramount Pictures,19-02-10,drama,138,80,321.5,8.1
Alice in Wonderland,Buena Vista Studios,05-03-10,adventure,108,200,"1,118.40",6.5
How to Train Your Dragon,Pacific Data/DreamWorks,26-03-10,animation,98,165,539.7,8.2
Clash of the Titans,WB,02-04-10,action,106,125,537.9,5.8
Iron Man 2,Paramount Pictures,07-05-10,action,124,170,680.4,7.1
Robin Hood,Universal,14-05-10,action,140,180,350.8,6.7
Shrek Forever After,Pacific Data/DreamWorks,21-05-10,animation,93,165,820.8,6.4
Sex and the City 2,WB/New Line,27-05-10,comedy,146,95,314.4,4.2
Prince of Persia: The Sands of Time,Buena Vista Studios,28-05-10,action,116,200,366.9,6.6
The Karate Kid,Sony,11-06-10,action,140,40,391.6,7.2
Toy Story 3,Buena Vista Studios,18-06-10,animation,103,200,"1,159.50",8.4
Knight & Day,Fox,23-06-10,action,109,117,285.6,6.3
Grown Ups,Sony,25-06-10,comedy,102,75,296,6
The Twilight Saga: Eclipse,Summit Entertainment,30-06-10,drama,124,68,761.8,4.9
The Last Airbender,Paramount Pictures,01-07-10,action,103,150,348.7,4.3
Despicable Me,Universal,09-07-10,animation,95,69,592.3,7.7
The Sorcerer's Apprentice,Buena Vista Studios,14-07-10,action,109,160,234.8,7.1
Inception,WB,16-07-10,action,148,160,900.3,8.8
Salt,Sony,23-07-10,action,100,110,320.1,6.4
Eat Pray Love,Sony,13-08-10,drama,133,60,223.1,5.6
The Expendables,Lionsgate,13-08-10,action,103,82,299.4,6.5
Resident Evil: Afterlife,Screen Gems,10-09-10,action,97,57.5,323,5.9
The Social Network,Sony,01-10-10,biography,120,40,245.3,7.8
Due Date,WB,05-11-10,comedy,95,65,231,6.6
Megamind,Pacific Data/DreamWorks,05-11-10,animation,95,130,351.1,7.3
Harry Potter and the Deathly Hallows Part 1,WB,19-11-10,adventure,146,125,"1,047.30",8.1
Tangled,Buena Vista Studios,24-11-10,animation,100,260,645.4,7.8
The King's Speech,Weinstein Company,26-11-10,biography,118,15,451.7,8.1
Black Swan,Fox Searchlight Pictures,03-12-10,drama,108,13,359.2,8
The Tourist,Sony,10-12-10,action,103,100,303.5,6
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,10-12-10,adventure,113,155,453.3,6.4
Yogi Bear,WB,17-12-10,animation,80,80,219.9,4.5
Tron Legacy,Buena Vista Studios,17-12-10,action,125,200,436.3,6.8
True Grit,Paramount Pictures,22-12-10,adventure,110,35,275.2,7.7
Little Fockers,Universal,22-12-10,comedy,98,100,338.8,5.4
Gulliver's Travels,Fox,25-12-10,adventure,85,112,258.9,4.9
The Green Hornet,Sony,14-01-11,action,119,110,240.8,5.9
Just Go With It,Sony,11-02-11,comedy,117,80,227.2,6.4
Rango,Paramount Pictures,04-03-11,animation,107,135,259.8,7.3
Battle: Los Angeles,Sony,11-03-11,action,116,70,223.9,7.6
Rio,Fox,15-04-11,animation,96,90,512.3,7
Fast Five,Universal,29-04-11,action,130,125,661.9,7.3
Thor,Paramount Pictures,06-05-11,action,115,150,475,7
Bridesmaids,Universal,13-05-11,comedy,125,32.5,304.9,6.8
Pirates of the Caribbean: On Stranger Tides,Buena Vista Studios,20-05-11,action,137,250,"1,105.50",6.7
The Hangover Part II,WB,26-05-11,comedy,102,80,620.4,6.5
Kung Fu Panda 2,Pacific Data/DreamWorks,26-05-11,animation,90,150,703.8,7.3
X-Men: First Class,Fox,03-06-11,action,131,200,373.8,7.8
Super 8,Paramount Pictures,09-06-11,thriller,112,50,275,7.1
Green Lantern,WB,17-06-11,action,114,200,232.5,5.7
Bad Teacher,Sony,24-06-11,comedy,92,19,228.6,5.7
Cars 2,Buena Vista Studios,24-06-11,animation,106,200,591.9,6.3
Transformers: Dark of the Moon,Pacific Data/DreamWorks,29-06-11,action,157,195,"1,188.10",6.3
Horrible Bosses,WB/New Line,08-07-11,comedy,98,37,221.6,6.9
Harry Potter and the Deathly Hallows Part 2,WB,15-07-11,fantasy,130,125,"1,418.20",8.1
Captain America: The First Avenger,Paramount Pictures,22-07-11,action,124,140,391.8,6.8
The Smurfs,Sony,29-07-11,animation,103,110,595.9,5.5
Rise of the Planet of the Apes,Fox,05-08-11,sci-fi,105,93,509.4,8.6
The Help,Buena Vista Studios,10-08-11,drama,146,25,229,8.1
Real Steel,Buena Vista Studios,07-10-11,action,127,110,316.4,6.3
Paranormal Activity 3,Paramount Pictures,21-10-11,horror,84,5,218.8,5.9
Puss in Boots,Pacific Data/DreamWorks,28-10-11,animation,90,130,586.7,6.7
The Intouchables,Weinstein Company,02-11-11,drama,112,10,451,8.6
Immortals,Relativity Media,11-11-11,crime,98,75,239.9,6.1
The Twilight Saga: Breaking Dawn Part 1,Summit Entertainment,18-11-11,adventure,117,127.5,752.9,5.6
Alvin and the Chipmunks: Chipwrecked,Fox,16-12-11,animation,87,80,362.3,4.4
Sherlock Holmes: A Game of Shadows,WB,16-12-11,action,129,125,576.6,7.5
Mission: Impossible - Ghost Protocol,Paramount Pictures,16-12-11,action,133,145,734.4,7.4
The Girl with the Dragon Tattoo (2011),Sony,20-12-11,crime,158,90,245.9,7.9
The Adventures of Tintin,Paramount Pictures,21-12-11,animation,107,130,395.4,7.4
Safe House,Universal,10-02-12,action,115,85,215.5,6.8
Journey 2: The Mysterious Island,WB,11-02-12,adventure,94,79,347.3,5.8
Dr. Seuss' The Lorax,Universal,02-03-12,animation,86,67.5,361.3,6.5
John Carter,Buena Vista Studios,09-03-12,sci-fi,132,263.7,294.3,6.6
21 Jump Street,Sony,16-03-12,comedy,109,42,208.8,7.2
The Hunger Games,Lionsgate,23-03-12,action,142,80,715.9,7.3
Wrath of the Titans,WB,30-03-12,action,99,150,316.2,5.8
American Reunion,Universal,06-04-12,comedy,113,50,243.4,6.8
Marvel's The Avengers,Buena Vista Studios,04-05-12,action,143,220,"1,572.90",8.2
Dark Shadows,WB,11-05-12,comedy,113,150,254.3,6.2
Battleship,Universal,18-05-12,action,131,209,313.8,5.9
MIB 3,Sony,25-05-12,action,106,215,646.3,6.9
Snow White and the Huntsman,Universal,01-06-12,action,127,170,410.8,6.1
Prometheus,Fox,08-06-12,adventure,124,125,417.8,7
Madagascar 3: Europe's Most Wanted,Pacific Data/DreamWorks,08-06-12,animation,93,145,773.6,7
Brave,Buena Vista Studios,22-06-12,drama,50,185,558.3,7.2
Ted,Universal,29-06-12,comedy,106,50,569,7
The Amazing Spider-Man,Sony,03-07-12,action,136,230,785,7.1
Ice Age: Continental Drift,Fox,13-07-12,animation,88,95,908.6,6.7
The Dark Knight Rises,WB,20-07-12,action,165,275,"1,123.20",8.5
The Bourne Legacy,Universal,10-08-12,action,135,125,286,6.7
The Expendables 2,Lionsgate,17-08-12,action,103,100,316.3,6.7
Resident Evil: Retribution,Screen Gems,14-09-12,action,96,65,248.8,5.3
Hotel Transylvania,Sony,28-09-12,animation,91,85,371.2,7.1
Taken 2,Fox,05-10-12,action,92,45,389.6,6.3
Argo,WB,12-10-12,drama,120,44.5,240.6,7.8
Wreck-It Ralph,Buena Vista Studios,02-11-12,animation,101,165,488.1,7.8
Skyfall,Sony,08-11-12,action,143,200,"1,148.20",7.8
Lincoln,Buena Vista Studios,09-11-12,biography,150,65,285.1,7.4
Silver Linings Playbook,Weinstein Company,16-11-12,romance,122,21,244.9,7.8
The Twilight Saga: Breaking Dawn Part 2,Lionsgate/Summit,16-11-12,drama,115,136.2,859.4,8.2
Rise of the Guardians,Pacific Data/DreamWorks,21-11-12,animation,97,145,317.9,7.3
Life of Pi,Fox,21-11-12,adventure,127,120,630.8,8
The Hobbit: An Unexpected Journey,WB,14-12-12,adventure,169,250,"1,053.40",8
Jack Reacher,Paramount Pictures,21-12-12,action,130,60,226.1,7
Django Unchained,Weinstein Company,25-12-12,adventure,165,100,440.6,8.5
Les Miserables (2012),Universal,25-12-12,drama,158,61,457.6,6
Hansel and Gretel: Witch Hunters,Paramount Pictures,25-01-13,action,88,50,231,6.1
A Good Day to Die Hard,Fox,14-02-13,action,98,92,311,5.3
Oz The Great and Powerful,Buena Vista Studios,08-03-13,adventure,130,200,503.6,6.4
The Croods,Fox,22-03-13,animation,98,135,599.4,7.3
G.I. Joe: Retaliation,Paramount Pictures,27-03-13,action,110,130,383.5,5.8
Oblivion,Universal,19-04-13,action,124,120,292.2,7
Iron Man 3,Buena Vista Studios,03-05-13,action,130,200,"1,240.70",7.3
The Great Gatsby (2013),WB,10-05-13,drama,142,190,358.3,7.3
Star Trek Into Darkness,Paramount Pictures,15-05-13,action,132,190,477.1,7.8
The Hangover Part III,WB,23-05-13,comedy,100,103,369.5,5.9
Epic,Fox,24-05-13,animation,102,100,274,6.7
Fast & Furious 6,Universal,24-05-13,action,130,160,805.1,7.2
After Earth,Sony,31-05-13,action,100,130,248.9,4.9
Now You See Me,Lionsgate/Summit,31-05-13,thriller,115,75,359,7.3
Superman,WB,14-06-13,action,143,55,306.4,7.3
Man of Steel,WB,14-06-13,action,143,225,681.9,7.2
World War Z,Paramount Pictures,21-06-13,sci-fi,116,190,551.2,7
Monsters University,Buena Vista Studios,21-06-13,animation,104,200,759.1,7.4
White House Down,Sony,28-06-13,action,131,150,209.7,8
The Heat,Fox,28-06-13,action,117,43,234.7,6.6
The Lone Ranger,Buena Vista Studios,02-07-13,action,149,225,265.9,6.5
Despicable Me 2,Universal,02-07-13,animation,98,76,991,7.5
Grown Ups 2,Sony,12-07-13,comedy,101,80,252.1,5.4
Pacific Rim,WB,12-07-13,action,131,190,419.6,6.1
Turbo,Fox,17-07-13,animation,96,135,288.5,6.5
The Conjuring,WB,19-07-13,horror,112,20,324.6,7.5
The Smurfs 2,Sony,31-07-13,animation,105,110,354.7,5.4
We're the Millers,WB,07-08-13,comedy,110,37,275.6,7.1
Planes,Buena Vista Studios,09-08-13,animation,91,50,244.3,5.7
Elysium,TriStar,09-08-13,action,109,120,292.1,6.7
Cloudy with a Chance of Meatballs 2,Sony,27-09-13,animation,95,78,280,6.5
Gravity,WB,04-10-13,drama,91,110,731.3,7.9
Captain Phillips,Sony,11-10-13,drama,134,55,223.4,7.9
Thor: The Dark World,Buena Vista Studios,08-11-13,action,112,170,658.2,7.1
The Hunger Games: Catching Fire,Lionsgate,22-11-13,action,146,130,882.9,7.7
Frozen,Buena Vista Studios,22-11-13,animation,102,150,"1,300.70",7.7
American Hustle,Sony,13-12-13,drama,138,40,256.4,6.3
The Hobbit: The Desolation of Smaug,WB,13-12-13,adventure,161,250,980.4,8
The Wolf of Wall Street,Paramount Pictures,25-12-13,biography,180,100,400.2,8.2
The LEGO Movie,WB,07-02-14,animation,100,60,470.9,7.8
RoboCop,Sony,12-02-14,sci-fi,117,120,243.8,7.1
Non-Stop,Universal,28-02-14,action,106,50,223.8,7
Mr. Peabody & Sherman,Fox,07-03-14,animation,92,145,274.1,6.9
300: Rise of An Empire,WB,07-03-14,action,102,110,339.1,6.3
Need for Speed,Buena Vista Studios,14-03-14,action,132,66,204.2,6.6
Divergent,Lionsgate/Summit,21-03-14,adventure,139,85,290,6.8
Noah,Paramount Pictures,28-03-14,action,138,130,364.2,5.9
Captain America: The Winter Soldier,Buena Vista Studios,04-04-14,action,136,170,718,7.8
Rio 2,Fox,11-04-14,animation,101,130,502.5,6.4
The Amazing Spider-Man 2,Sony,02-05-14,action,142,200,712.2,6.8
Neighbors,Universal,09-05-14,comedy,97,18,269.4,6.4
Godzilla (2014),WB,16-05-14,action,123,160,531.1,6.5
X-Men: Days of Future Past,Fox,23-05-14,action,131,200,751.5,8.1
Maleficent,Buena Vista Studios,30-05-14,action,97,180,761.8,7
The Fault in our Stars,Fox,06-06-14,drama,126,12,308.6,7.9
Edge of Tomorrow,WB,06-06-14,action,113,178,370.9,7.9
22 Jump Street,Sony,13-06-14,comedy,112,50,332.8,7.1
How to Train Your Dragon 2,Fox,13-06-14,animation,102,145,621.7,7.9
Transformers: Age of Extinction,Paramount Pictures,27-06-14,action,165,210,"1,109",5.8
Dawn of the Planet of the Apes,Fox,11-07-14,action,130,170,712,7.7
Hercules (2015),Paramount Pictures,25-07-14,action,98,100,244.5,6.1
Lucy,Universal,25-07-14,action,89,40,461,6.4
Guardians of the Galaxy,Buena Vista Studios,01-08-14,action,121,170,777.7,8.1
Teenage Mutant Ninja Turtles (2014),Paramount Pictures,08-08-14,action,101,125,487.2,7.9
The Expendables 3,Lionsgate,15-08-14,action,126,100,207.1,6.1
The Maze Runner,Fox,19-09-14,action,113,34,342.3,6.9
Annabelle,WB/New Line,03-10-14,horror,99,6.5,256.5,5.4
Gone Girl,Fox,03-10-14,drama,149,61,369.8,6.7
Dracula Untold,Universal,10-10-14,action,92,70,216.5,6.3
Fury,Sony,17-10-14,action,134,80,212.8,5.8
Interstellar,Paramount Pictures,05-11-14,sci-fi,169,165,675.7,8.7
Big Hero 6,Buena Vista Studios,07-11-14,animation,102,165,655,7.9
The Hunger Games: Mockingjay - Part 1,Lionsgate,21-11-14,adventure,123,125,755.5,6.8
Penguins of Madagascar,Fox,26-11-14,animation,92,132,375.3,6.8
The Imitation Game,Weinstein Company,28-11-14,biography,114,15,221,8.1
Exodus: Gods and Kings,Fox,12-12-14,action,150,140,269.2,6.1
The Hobbit: The Battle of the Five Armies,WB,17-12-14,adventure,144,250,959.4,7.5
Night at the Museum: Secret of the Tomb,Fox,19-12-14,adventure,98,127,362,6.3
Night at the Museum,Fox,19-12-14,adventure,98,127,577.1,6.4
Into the Woods,Buena Vista Studios,25-12-14,adventure,125,50,213.9,6
American Sniper,WB,25-12-14,action,132,58,549.6,7.4
Taken 3,Fox,09-01-15,action,109,48,325.8,6.1
Paddington,StudioCanal,16-01-15,comedy,95,55,259.5,7.3
The SpongeBob Movie: Sponge Out of Water,Paramount Pictures,06-02-15,animation,92,74,311.6,6.2
Kingsman: The Secret Service,Fox,13-02-15,action,129,81,403.8,7.9
Fifty Shades of Grey,Universal,13-02-15,drama,125,40,569.7,4.2
Cinderella,Buena Vista Studios,13-03-15,drama,105,95,539,7.3
The Divergent Series: Insurgent,Lionsgate/Summit,20-03-15,action,119,110,295.1,6.9
Home,Fox,27-03-15,animation,94,130,367.7,6.8
Furious 7,Universal,03-04-15,action,137,190,"1,511.60",7.6
Avengers: Age of Ultron,Buena Vista Studios,01-05-15,action,141,250,"1,371.60",7.9
Pitch Perfect 2,Universal,15-05-15,comedy,115,29,276.9,6.9
Mad Max: Fury Road,WB,15-05-15,action,120,150,356.4,8.5
Tomorrowland,Buena Vista Studios,22-05-15,action,130,170,202.1,6.7
San Andreas,WB,29-05-15,action,114,110,441.2,6.6
Jurassic World,Universal,12-06-15,action,124,215,"1,245.90",7.5
Inside Out,Buena Vista Studios,19-06-15,animation,102,175,266.6,8.8
