Title,Studio,Release Date,Genre,RuntimeBudget,Gross,IMDb Rating
Dumb and Dumber,New Line Cinema,16-12-94,comedy,107,16,396.8,7.3
The Jungle Book,Disney,23-12-94,animation,111,27,330.2,7.6
Die Hard: With A Vengeance,Fox,19-05-95,action,131,90,571.3,7.6
Braveheart,Paramount Pictures,24-05-95,action,177,72,328.3,8.4
Casper,Universal,26-05-95,comedy,100,55,449.2,6
Batman Forever,WB,16-06-95,action,121,100,525.1,5.4
Pocahontas,Buena Vista Studios,23-06-95,animation,81,75,540.1,6.6
Apollo 13,Universal,30-06-95,adventure,140,65,554.3,7.6
Waterworld,Universal,28-07-95,action,136,175,412.3,6.1
Babe,Universal,04-08-95,adventure,89,30,396.5,6.8
Seven,New Line Cinema,22-09-95,crime,127,30,510.7,8.7
Ace Ventura: When Nature Calls,WB,10-11-95,comedy,90,30,331.4,6.3
GoldenEye,MGM,17-11-95,action,130,60,549.6,7.2
Toy Story,Buena Vista Studios,22-11-95,animation,80,30,564.9,8.3
Jumanji,Sony,15-12-95,adventure,104,65,410.1,6.8
Twister,WB,10-05-96,action,113,88,749.5,6.3
The Rock,Buena Vista Studios,07-06-96,action,136,75,507.9,7.4
Eraser,WB,21-06-96,action,115,100,367.2,6
The Hunchback of Notre Dame,Buena Vista Studios,21-06-96,animation,91,100,493,6.8
The Nutty Professor,Universal,28-06-96,comedy,95,55,415.3,5.5
Independence Day,Fox,03-07-96,action,145,75,"1,238.90",6.9
Ransom,Buena Vista Studios,08-11-96,thriller,121,70,469.1,5.4
Space Jam,WB,15-11-96,animation,88,80,349.2,6.2
The English Patient,MiraMax,15-11-96,romance,162,35,351.6,7.4
101 Dalmatians (1996),Buena Vista Studios,27-11-96,animation,103,75,486.1,5.6
Jerry Maguire,Sony,13-12-96,comedy,139,50,414.7,7.3
Liar Liar,Universal,21-03-97,comedy,86,45,448.5,6.8
The Fifth Element,Sony,09-05-97,action,126,95,391,7.6
The Lost World: Jurassic Park,Universal,22-05-97,action,129,75,916.5,6.5
Con Air,Buena Vista Studios,06-06-97,action,115,80,331.9,6.8
Hercules,Buena Vista Studios,15-06-97,animation,92,70,374.4,6.1
Batman and Robin,WB,20-06-97,action,125,125,352.9,3.6
My Best Friend's Wedding,Sony,20-06-97,comedy,105,46,443.5,7.1
Face/Off,Paramount Pictures,27-06-97,action,138,80,364,7.1
Men in Black,Sony,02-07-97,action,98,90,873.3,7.2
Air Force One,Sony,25-07-97,action,124,85,467,6.4
The Full Monty,Fox Searchlight Pictures,13-08-97,comedy,91,3.5,382.1,7.2
Bean,Gramercy Pictures,17-10-97,comedy,90,18,372.2,7.3
Good Will Hunting,MiraMax,05-12-97,drama,126,10,334.7,8.3
Titanic,Paramount Pictures,17-12-97,drama,194,200,"3,240.10",7.7
Tomorrow Never Dies,MGM,19-12-97,action,119,110,493.4,6.5
As Good as It Gets,Sony,24-12-97,comedy,139,50,465.5,7.8
Deep Impact,Paramount Pictures,08-05-98,action,120,80,509.9,6.1
Godzilla,Sony,20-05-98,action,123,160,552.9,6.5
The Truman Show,Paramount Pictures,05-06-98,drama,103,60,385.3,5.5
Mulan,Buena Vista Studios,19-06-98,animation,88,90,444,7.5
Armageddon,Buena Vista Studios,01-07-98,action,150,140,807.8,6.6
Lethal Weapon 4,WB,10-07-98,action,127,140,416.4,6.6
There's Something About Mary,Fox,15-07-98,comedy,119,22,539.7,7.1
The Mask of Zorro,Sony,17-07-98,action,136,65,365.2,6.7
Saving Private Ryan,DreamWorks,24-07-98,action,169,65,702.9,7.6
Rush Hour,New Line Cinema,18-09-98,action,98,35,356.6,6.9
Life Is Beautiful,MiraMax,23-10-98,drama,116,20,334.4,8.6
Enemy of the State,Buena Vista Studios,20-11-98,action,132,85,365.6,7.3
A Bug's Life,Buena Vista Studios,25-11-98,animation,96,120,530.2,7.2
Shakespeare in Love,MiraMax,11-12-98,comedy,123,26,422.1,7.2
The Prince of Egypt,DreamWorks,18-12-98,animation,99,60,318.9,7
You've Got Mail,WB,18-12-98,romance,119,65,365.9,6.5
Patch Adams,Universal,25-12-98,comedy,115,90,295.1,6.6
The Matrix,WB,31-03-99,action,136,65,661.6,8.7
Entrapment,Fox,30-04-99,crime,113,66,303.2,6.2
Star Wars: Episode I - The Phantom Menace,Fox,19-05-99,sci-fi,136,115,"1,465.90",6.6
Notting Hill,Universal,28-05-99,comedy,124,42,519.4,7
Austin Powers: The Spy Who Shagged Me,New Line Cinema,10-06-99,comedy,95,35,445.3,6.6
Tarzan,Buena Vista Studios,16-06-99,animation,88,130,639.8,7.2
Big Daddy,Sony,25-06-99,comedy,93,30,335.2,6.4
Wild Wild West,WB,30-06-99,action,106,175,317,4.8
American Pie,Universal,09-07-99,comedy,95,12,336.2,7
The Blair Witch Project,Art House Studios,14-07-99,horror,81,0.6,354.9,6.4
Runaway Bride,Paramount Pictures,30-07-99,comedy,116,70,441.8,6.6
The Sixth Sense,Buena Vista Studios,06-08-99,drama,107,40,960.4,8.2
American Beauty,DreamWorks,15-09-99,drama,122,15,508.6,8.4
Sleepy Hollow,Paramount Pictures,19-11-99,fantasy,105,70,294.2,7.6
The World Is Not Enough,MGM,19-11-99,action,128,135,516.4,6.4
Toy Story 2,Buena Vista Studios,19-11-99,animation,92,90,692.3,5.9
End of Days,Universal,24-11-99,action,121,100,302.6,5.7
The Green Mile,WB,10-12-99,crime,189,60,409.4,8.5
Stuart Little,Sony,17-12-99,adventure,84,133,428.4,5.9
Erin Brockovich,Universal,17-03-00,biography,130,50,353.9,7.3
Gladiator,DreamWorks,05-05-00,action,155,103,631.9,8.5
Gone in 60 Seconds,Buena Vista Studios,09-05-00,action,105,90,327.6,6.5
Dinosaur,Buena Vista Studios,19-05-00,animation,82,127.5,483.1,6.4
Mission: Impossible,Paramount Pictures,24-05-00,action,123,120,632.1,7.1
Mission: Impossible II,Paramount Pictures,24-05-00,action,123,120,754.6,6
Chicken Run,DreamWorks,21-06-00,animation,84,42,310.4,7.1
The Patriot,Sony,28-06-00,action,165,110,297.3,6.1
The Perfect Storm,WB,30-06-00,action,130,120,453.9,6.4
Scary Movie,MiraMax,07-07-00,comedy,88,19,383.9,7.2
X-Men,Fox,14-07-00,action,131,200,409.2,7.4
What Lies Beneath,DreamWorks,21-07-00,drama,130,90,402.4,6.6
Charlie's Angels,Sony,03-11-00,action,98,90,364.7,8.1
How the Grinch Stole Christmas,Universal,17-11-00,comedy,104,123,476.6,6
Unbreakable,Buena Vista Studios,22-11-00,fantasy,106,73.2,342.6,7.2
"Crouching Tiger, Hidden Dragon",Sony Picture Classics,08-12-00,action,120,15,294.8,7.9
Vertical Limit,Sony,08-12-00,action,124,75,297.9,5.8
What Women Want,Paramount Pictures,15-12-00,comedy,127,65,516.6,6.4
Miss Congeniality,WB,22-12-00,comedy,109,45,293.7,6.1
Cast Away,Fox,22-12-00,adventure,143,85,593.3,7.7
Traffic,USA,27-12-00,crime,147,48,286.6,7.7
Hannibal,MGM,09-02-01,thriller,131,87,472.3,8.7
Bridget Jones's Diary,MiraMax,13-04-01,comedy,97,25,378.5,6.7
The Mummy,Universal,04-05-01,action,130,98,558.5,7
The Mummy Returns,Universal,04-05-01,action,130,98,581.4,6.3
Shrek,DreamWorks,18-05-01,animation,90,50,650.4,7.9
Pearl Harbor,Buena Vista Studios,25-05-01,action,183,151.5,603.2,6
Lara Croft: Tomb Raider,Paramount Pictures,15-06-01,action,100,94,368.9,5.7
The Fast and the Furious,Universal,22-06-01,action,106,38,278.4,6.7
Fast and Furious,Universal,22-06-01,action,106,38,487.7,6.7
A.I. Artificial Intelligence,WB,29-06-01,adventure,146,90,316.8,7.1
Cats & Dogs,WB,04-07-01,action,87,60,269.5,5.2
Jurassic Park III,Universal,18-07-01,action,92,93,495.2,5.9
Planet of the Apes (2001),Fox,27-07-01,action,119,100,486.4,5.7
Rush Hour 2,New Line Cinema,03-08-01,comedy,90,90,466.3,6.6
The Others,MiraMax,10-08-01,horror,101,17,281.8,7.6
American Pie 2,Universal,10-08-01,comedy,108,30,386.2,6.4
"Monsters, Inc.",Buena Vista Studios,02-11-01,animation,92,115,755.7,8.1
Harry Potter and the Sorcerer's Stone,WB,16-11-01,adventure,152,125,"1,308.90",7.5
Ocean's Eleven,WB,07-12-01,thriller,127,85,605.2,7.8
Vanilla Sky,Paramount Pictures,14-12-01,mystery,136,70,273.1,6.9
The Lord of the Rings: The Fellowship of the Ring,New Line Cinema,19-12-01,action,178,109,"1,170.20",8.8
A Beautiful Mind,Universal,21-12-01,biography,135,78,421,8.2
My Big Fat Greek Wedding,IFC,19-04-02,comedy,95,5,487.4,6.6
Spider-Man,Sony,03-05-02,action,121,139,"1,086.20",7.3
Star Wars: Episode II - Attack of the Clones,Fox,16-05-02,sci-fi,142,115,858.4,6.7
The Bourne Identity,Universal,14-06-02,action,119,60,282.9,7.9
Scooby-Doo,WB,14-06-02,animation,90,84,364.4,4.9
Lilo & Stitch,Buena Vista Studios,21-06-02,animation,85,80,361,7.1
Minority Report,Fox,21-06-02,sci-fi,145,102,473.8,7.7
Men in Black II,Sony,03-07-02,action,88,140,584,7.6
Austin Powers in Goldmember,New Line Cinema,25-07-02,action,94,63,392.2,6.2
Signs,Buena Vista Studios,02-08-02,drama,106,70.7,539.6,6.7
XXX,Revolution Studios,09-08-02,action,124,70,366.7,5.8
Spirited Away,Buena Vista Studios,20-09-02,animation,125,19,363.4,8.6
Red Dragon,Universal,04-10-02,crime,124,78,276.5,7.2
The Ring,DreamWorks,18-10-02,horror,115,48,329.5,7.1
8 Mile,Universal,08-11-02,drama,110,41,321.1,6.9
Harry Potter and the Chamber of Secrets,WB,15-11-02,adventure,161,100,"1,161.90",7.3
Die Another Day,MGM,22-11-02,action,133,142,571,6.1
The Lord of the Rings: The Two Towers,New Line Cinema,18-12-02,action,179,94,"1,224.10",8.7
Catch Me If You Can,DreamWorks,25-12-02,biography,141,52,465.4,8
Chicago,MiraMax,27-12-02,comedy,113,30,405.6,7.2
X2: X-Men United,Fox,24-04-03,action,134,110,526.9,7.5
The Matrix Reloaded,WB,15-05-03,sci-fi,138,127,959.1,7.2
Bruce Almighty,Universal,23-05-03,comedy,101,81,626.3,6.7
Finding Nemo,Buena Vista Studios,30-05-03,animation,100,94,"1,210.60",8.2
2 Fast 2 Furious,Universal,06-06-03,action,107,76,305.5,5.8
Hulk,Universal,20-06-03,action,138,137,317.2,5.7
The Incredible Hulk,Universal,20-06-03,action,138,137,340.4,6.9
Charlie's Angels: Full Throttle,Sony,27-06-03,action,106,120,335,4.8
Terminator 3: Rise of the Machines,WB,01-07-03,action,109,170,560.1,6.4
Pirates of the Caribbean: The Curse of the Black Pearl,Buena Vista Studios,09-07-03,action,143,125,845.6,8.1
Bad Boys II,Sony,18-07-03,action,147,130,353.2,6.5
American Wedding,Universal,01-08-03,comedy,96,55,299.1,7.6
S.W.A.T.,Sony,08-08-03,action,117,70,268.4,6
Scary Movie 3,Dimension Films,24-10-03,comedy,84,45,285.2,5.4
Brother Bear,Buena Vista Studios,24-10-03,animation,82,18,323.6,6.7
The Matrix Revolutions,WB,05-11-03,sci-fi,129,110,552.3,6.7
Elf,New Line Cinema,07-11-03,comedy,97,32,284.8,6.9
Love Actually,Universal,07-11-03,comedy,135,45,319.1,7.7
Master and Commander: The Far Side of the World,Fox,14-11-03,action,138,135,274,7.4
The Last Samurai,WB,05-12-03,action,154,120,590.4,7.7
Something's Gotta Give,Sony,12-12-03,comedy,128,80,344.7,6.7
The Lord of the Rings: The Return of the King,New Line Cinema,17-12-03,fantasy,201,94,"1,447.40",8.9
The Passion of the Christ,New Market Films,25-02-04,drama,127,25,770.3,7.1
Van Helsing,Universal,07-05-04,action,131,170,378,6
Troy,WB,14-05-04,action,163,150,626.2,7.2
Shrek 2,DreamWorks,19-05-04,animation,93,70,"1,157.90",7.2
The Day After Tomorrow,Fox,28-05-04,sci-fi,124,125,685.2,6.4
Harry Potter and the Prisoner of Azkaban,WB,04-06-04,adventure,141,130,"1,003",7.8
Garfield: The Movie,Fox,11-06-04,comedy,80,50,252.8,4.9
The Terminal,DreamWorks,18-06-04,drama,128,75,276.2,6.1
Fahrenheit 9/11,Lionsgate Films,23-06-04,documentary,122,6,280,7.5
Spider-Man 2,Sony,30-06-04,action,127,200,986.7,7.3
King Arthur,Buena Vista Studios,07-07-04,action,126,90,256.3,6.3
"I, Robot",Fox,16-07-04,sci-fi,115,105,437.1,7.1
The Bourne Supremacy,Universal,23-07-04,action,108,85,363.2,7.8
The Village,Buena Vista Studios,30-07-04,mystery,108,71.7,323.2,6.5
Collateral,DreamWorks,06-08-04,crime,120,60,274.2,7.6
Shark Tale,DreamWorks,01-10-04,animation,90,75,462.4,6
The Incredibles,Buena Vista Studios,05-11-04,animation,115,92,794.9,8
The Polar Express,WB,10-11-04,animation,100,170,387.1,6.6
Bridget Jones: The Edge of Reason,Universal,12-11-04,comedy,108,50,330.5,5.9
National Treasure,Buena Vista Studios,19-11-04,adventure,131,100,437.5,6.9
Ocean's Twelve,WB,10-12-04,thriller,125,85,456.6,6.4
Million Dollar Baby,WB,15-12-04,drama,132,30,272.9,8.1
Lemony Snicket's A Series of Unfortunate Events,Paramount Pictures,17-12-04,adventure,108,100,263.2,6.8
The Aviator,MiraMax,17-12-04,biography,170,110,269,7.5
Meet the Parents,Universal,22-12-04,comedy,115,60,415.9,7
Meet the Fockers,Universal,22-12-04,comedy,115,60,650.3,6.3
Hitch,Sony,11-02-05,comedy,118,55,448.2,8.2
Constantine,WB,18-02-05,fantasy,121,100,281.2,7.6
Robots,Fox,11-03-05,animation,91,80,317.4,6.3
Kingdom of Heaven,Fox,06-05-05,action,145,110,257.8,7.2
Star Wars: Episode III - Revenge of the Sith,Fox,19-05-05,action,140,115,"1,033.50",7.7
Madagascar,DreamWorks,27-05-05,animation,86,75,648.6,6.9
Howl's Moving Castle,Buena Vista Studios,10-06-05,animation,119,24,286.4,8.2
Mr. & Mrs. Smith,Fox,10-06-05,action,120,110,582.3,6.5
Batman Begins,WB,15-06-05,action,140,150,455.6,8.3
War of the Worlds,Paramount Pictures,29-06-05,action,116,132,720.5,6.5
Fantastic Four,Fox,08-07-05,action,106,87.5,402.6,5.7
Wedding Crashers,New Line Cinema,15-07-05,comedy,119,40,347.3,7
Charlie and the Chocolate Factory,WB,15-07-05,adventure,115,150,578.4,6.7
Flightplan,Buena Vista Studios,23-09-05,action,98,55,272,6.2
Chicken Little,Buena Vista Studios,04-11-05,animation,81,60,382.8,5.8
Harry Potter and the Goblet of Fire,WB,18-11-05,adventure,157,150,"1,092.10",7.6
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Buena Vista Studios,09-12-05,adventure,143,180,907.1,6.9
King Kong,Universal,14-12-05,adventure,187,207,670.3,7.3
Fun with Dick and Jane,Sony,21-12-05,comedy,90,140,246,6.1
Ice Age: The Meltdown,Fox,31-03-06,animation,91,75,779.6,6.9
Mission: Impossible III,Paramount Pictures,05-05-06,action,126,150,469.4,6.8
Over the Hedge,Pacific Data/DreamWorks,19-05-06,animation,83,80,396.3,6.8
The Da Vinci Code,Sony,19-05-06,thriller,149,125,894.4,6.5
X-Men: The Last Stand,Fox,26-05-06,action,104,150,541.9,6.8
The Break-Up,Universal,02-06-06,comedy,106,52,241.8,5.8
Cars,Buena Vista Studios,09-06-06,animation,117,70,545,7.2
Click,Revolution Studios,23-06-06,comedy,107,82.5,280.4,6.4
